location,classification,value,year
Sundarbans,122,38.007843137254895,2015
Sundarbans,200,6.015686274509803,2015
Sundarbans,112,13.733333333333334,2015
Sundarbans,126,114.51764705882353,2015
Sundarbans,90,59.93333333333333,2015
Sundarbans,80,86,2015
Sundarbans,40,1,2015
Sundarbans,30,1,2015
Sundarbans,20,41.364705882352936,2015
Sundarbans,122,29.992156862745095,2016
Sundarbans,200,6.015686274509803,2016
Sundarbans,112,14.733333333333334,2016
Sundarbans,126,96.09019607843138,2016
Sundarbans,90,93.10588235294117,2016
Sundarbans,80,82.09019607843138,2016
Sundarbans,40,1,2016
Sundarbans,20,38.54509803921568,2016
Sundarbans,122,21.98039215686274,2017
Sundarbans,200,6.015686274509803,2017
Sundarbans,112,14.294117647058822,2017
Sundarbans,126,81.64705882352942,2017
Sundarbans,90,114.68627450980394,2017
Sundarbans,80,85.09019607843138,2017
Sundarbans,40,1.3137254901960784,2017
Sundarbans,20,36.54509803921568,2017
Sundarbans,122,16.062745098039215,2018
Sundarbans,200,6.015686274509803,2018
Sundarbans,112,14.294117647058822,2018
Sundarbans,126,79.58823529411765,2018
Sundarbans,90,129.67058823529413,2018
Sundarbans,80,84.09019607843138,2018
Sundarbans,40,1,2018
Sundarbans,20,30.850980392156863,2018
Sundarbans,122,15.466666666666665,2019
Sundarbans,200,6.015686274509803,2019
Sundarbans,112,14.294117647058822,2019
Sundarbans,126,67.98039215686275,2019
Sundarbans,90,145.87058823529415,2019
Sundarbans,80,84.09019607843138,2019
Sundarbans,40,1,2019
Sundarbans,20,26.85490196078431,2019
Everglades,200,86.26666666666668,2015
Everglades,126,3,2015
Everglades,116,35.384313725490195,2015
Everglades,90,242.29019607843145,2015
Everglades,80,9.505882352941176,2015
Everglades,30,4,2015
Everglades,200,84.26666666666668,2016
Everglades,126,3,2016
Everglades,116,34.384313725490195,2016
Everglades,90,249.29019607843145,2016
Everglades,80,8.505882352941176,2016
Everglades,30,1,2016
Everglades,200,85.26666666666668,2017
Everglades,126,5.333333333333333,2017
Everglades,116,31.050980392156866,2017
Everglades,90,249.29019607843145,2017
Everglades,80,8.505882352941176,2017
Everglades,30,1,2017
Everglades,200,85.26666666666668,2018
Everglades,126,4.023529411764706,2018
Everglades,116,33.29803921568628,2018
Everglades,90,250.01960784313732,2018
Everglades,80,7.8392156862745095,2018
Everglades,200,84.26666666666668,2019
Everglades,126,4.023529411764706,2019
Everglades,116,31.29803921568628,2019
Everglades,90,253.01960784313732,2019
Everglades,80,7.8392156862745095,2019
Cairns,200,101.93333333333332,2015
Cairns,112,211.40784313725487,2015
Cairns,126,1,2015
Cairns,116,1,2015
Cairns,80,6.988235294117647,2015
Cairns,50,14.168627450980392,2015
Cairns,40,2.3882352941176475,2015
Cairns,30,1,2015
Cairns,200,101.93333333333332,2016
Cairns,112,211.40784313725487,2016
Cairns,116,1,2016
Cairns,80,7.988235294117647,2016
Cairns,50,14.168627450980392,2016
Cairns,40,2.3882352941176475,2016
Cairns,30,1,2016
Cairns,200,101.93333333333332,2017
Cairns,112,211.40784313725487,2017
Cairns,116,1,2017
Cairns,80,7.988235294117647,2017
Cairns,50,14.168627450980392,2017
Cairns,40,2.3882352941176475,2017
Cairns,30,1,2017
Cairns,200,101.93333333333332,2018
Cairns,112,211.40784313725487,2018
Cairns,116,1,2018
Cairns,80,7.988235294117647,2018
Cairns,50,14.168627450980392,2018
Cairns,40,2.3882352941176475,2018
Cairns,30,1,2018
Cairns,200,101.93333333333332,2019
Cairns,112,211.40784313725487,2019
Cairns,116,1,2019
Cairns,80,7.988235294117647,2019
Cairns,50,14.168627450980392,2019
Cairns,40,2.3882352941176475,2019
Cairns,30,1,2019
Can Gio,200,29.73725490196079,2015
Can Gio,112,214.83137254901962,2015
Can Gio,126,26.41176470588235,2015
Can Gio,116,1.1176470588235294,2015
Can Gio,90,1.6901960784313725,2015
Can Gio,80,33.93725490196079,2015
Can Gio,60,2,2015
Can Gio,50,0.5607843137254902,2015
Can Gio,40,5.086274509803921,2015
Can Gio,20,6.2784313725490195,2015
Can Gio,200,29.73725490196079,2016
Can Gio,112,214.78039215686275,2016
Can Gio,126,25.41176470588235,2016
Can Gio,116,1.1176470588235294,2016
Can Gio,90,8.709803921568628,2016
Can Gio,80,30.988235294117647,2016
Can Gio,60,2,2016
Can Gio,50,0.5607843137254902,2016
Can Gio,40,6.086274509803921,2016
Can Gio,20,2.2588235294117647,2016
Can Gio,200,29.73725490196079,2017
Can Gio,112,214.83137254901962,2017
Can Gio,126,23.309803921568626,2017
Can Gio,116,0.11764705882352941,2017
Can Gio,90,10.709803921568628,2017
Can Gio,80,33.93725490196079,2017
Can Gio,60,1,2017
Can Gio,50,0.5607843137254902,2017
Can Gio,40,6.188235294117646,2017
Can Gio,20,1.2588235294117647,2017
Can Gio,200,29.73725490196079,2018
Can Gio,112,214.83137254901962,2018
Can Gio,126,22.309803921568626,2018
Can Gio,116,1.1176470588235294,2018
Can Gio,90,11.04313725490196,2018
Can Gio,80,35.603921568627456,2018
Can Gio,60,2,2018
Can Gio,50,0.5607843137254902,2018
Can Gio,40,4.188235294117646,2018
Can Gio,20,0.25882352941176473,2018
Can Gio,200,29.73725490196079,2019
Can Gio,112,213.83137254901962,2019
Can Gio,126,21.309803921568626,2019
Can Gio,116,0.11764705882352941,2019
Can Gio,90,10.04313725490196,2019
Can Gio,80,39.603921568627456,2019
Can Gio,60,2,2019
Can Gio,50,0.5607843137254902,2019
Can Gio,40,4.188235294117646,2019
Can Gio,20,0.25882352941176473,2019
