year,location,npp_own,npp_gee
2014,Cairns,508.5719763152799,1903.9675607607312
2014,Can Gio,701.7811900762107,92.7278404900011
2014,Everglades,525.251969918406,627.6220091378042
2014,Sundarbans,367.03097454714555,349.2248487975464
2015,Cairns,563.7800158041889,1832.831247965068
2015,Can Gio,766.7037981780471,95.11182340133004
2015,Everglades,513.6664459781459,555.400025350037
2015,Sundarbans,367.1261592146258,320.29219480035545
2016,Cairns,611.0414607488635,1866.5355376055788
2016,Can Gio,654.4407935653737,84.90405088836305
2016,Everglades,511.86193693381676,560.3103198231396
2016,Sundarbans,406.6421274886911,357.3419755209677
2017,Cairns,593.9396667659371,1829.0663010169892
2017,Can Gio,699.6987225094757,91.73266320093938
2017,Everglades,509.3569917345893,693.2967905674286
2017,Sundarbans,404.40556797609247,377.9030813770172
2018,Cairns,547.5996895297093,1733.78216488231
2018,Can Gio,703.9124796638642,96.11232142751771
2018,Everglades,415.93569706935017,629.9754440677966
2018,Sundarbans,371.020986632058,381.7001977814084
2019,Cairns,578.694124115452,1882.495658169422
2019,Can Gio,705.95636989002,97.89009907416693
2019,Everglades,510.84806822513576,623.0002393515109
2019,Sundarbans,436.3332382247714,397.3628944879182
