year,location,npp,total_carbon
2014,Sundarbans,349.2248487975464,11913416.023570703
2015,Sundarbans,320.29219480035545,10926411.399211764
2016,Sundarbans,357.3419755209677,12190326.175113784
2017,Sundarbans,377.9030813770172,12891743.578610174
2018,Sundarbans,381.7001977814084,13021276.51174507
2019,Sundarbans,397.3628944879182,13555591.61316863
2014,Everglades,627.6220091378042,104160688.07997406
2015,Everglades,555.400025350037,92174659.27251086
2016,Everglades,560.3103198231396,92989599.83006501
2017,Everglades,693.2967905674286,115060104.00581463
2018,Everglades,629.9754440677966,104551249.15099505
2019,Everglades,623.0002393515109,103393665.99587509
2014,Cairns,1903.9675607607312,388550137.6451861
2015,Cairns,1832.8312479650676,374033074.2542312
2016,Cairns,1866.5355376055788,380911232.3422094
2017,Cairns,1829.0663010169894,373264742.54832214
2018,Cairns,1733.7821648823099,353819736.45205986
2019,Cairns,1882.495658169422,384168283.72986495
2014,CanGio,92.7278404900011,15344255.81597415
2015,CanGio,95.11182340133003,15738748.309779976
2016,CanGio,84.90405088836305,14049603.91310254
2017,CanGio,91.73266320093938,15179577.880879123
2018,CanGio,96.11232142751771,15904307.639453351
2019,CanGio,97.89009907416693,16198487.848403906
